"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,2,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,3,1,3,3,3,3,3,3,3,3,3
1,1,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,1,3,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,3,3,3,3,3
3,1,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,1,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,1,3,1,2,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,3,1,3,3,1,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3,3,3,3
3,1,3,3,3,3,3,3,3,3,3,3
1,1,2,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,1,3,1,3,3,3,2,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,1,3,3,3,3,3,3,3,3
1,3,1,3,3,3,3,3,3,3,3,3
3,1,3,3,3,3,3,3,3,3,3,3
3,3,1,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,1,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,1,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,1,2,3,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,2,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,2,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,2,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,3,3,3,3,3
3,3,3,2,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,1,1,1,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,2,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,2,3,3,3,3,3,3,3,3,3
NA,3,1,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,1,3,3,3,3,3,3
NA,1,3,2,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,1,3,1,3,3,2,3,3
NA,1,2,3,3,3,3,3,3,3,3,3
NA,3,2,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,1,2,3,3,3,3,3,3,3
NA,2,3,3,3,3,3,3,3,3,3,3
NA,1,3,2,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,1,1,3,3,1,3,3,3,3,3
NA,3,3,1,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,1,1,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,2,3,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,1,1,3,3,3,3,3,3,3,3
NA,2,3,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,1,1,3,1,3,3,3,3,3,3,3
NA,3,3,3,1,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,2,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,1,3,1,3,3,1,1,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,2,3,3,3,3,3,3,3,3,3,3
NA,1,3,1,3,1,3,1,1,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,2,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,2,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,3,1,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,1,3,1,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,1,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,2,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,1,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,1,3,2,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,1,3,2,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,2,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,2,3,3,3,3,3,3,3
NA,1,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,3,3,3,3,3,3,3,3,3,3
NA,3,1,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,2,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,1,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,1,3,3,3,3,3,3,3,3,3
NA,NA,1,2,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,2,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,1,2,3,3,3,3,3,3,3
NA,NA,3,3,3,2,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,1,1,1,1
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,2,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,1,2,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,1,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,1,1,3,3,3,3,3,3,3,3
NA,NA,3,3,1,2,3,3,3,3,3,3
NA,NA,3,1,3,3,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,2,3,3,3,3,3,3,3,3
NA,NA,3,1,3,3,3,3,3,3,3,3
NA,NA,1,3,1,3,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,1,3,1,3,3,3,3,3,3,3
NA,NA,3,2,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,1,3,3,3,3,3,3,3,3,3
NA,NA,1,1,3,3,3,3,3,3,3,3
NA,NA,3,3,1,3,3,1,3,3,2,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,1,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,1,2,3,3,3,3,3,3,3,3
NA,NA,1,3,3,3,3,3,3,3,3,3
NA,NA,3,3,2,3,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,2,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,1,3,3,3,3,3,3,3,3
NA,NA,1,3,1,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,1,3,1,3,3,3,3,3,3
NA,NA,3,3,2,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,1,3,3,3,3,3,3,3,3,3
NA,NA,1,3,3,3,3,3,3,3,3,3
NA,NA,1,1,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,1,3,2,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,1,1,3,2,3,3,3,3,3,3
NA,NA,2,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,3,3,3,3,3,3,3,3,3,3
NA,NA,1,3,1,3,3,3,3,3,3,3
NA,NA,3,3,3,1,3,3,3,3,3,3
NA,NA,1,1,2,3,3,3,3,3,3,3
NA,NA,3,1,1,3,3,3,3,3,3,3
NA,NA,NA,2,3,3,3,3,3,3,3,3
NA,NA,NA,1,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,2,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,1,3,3,3,3,3,3,3
NA,NA,NA,3,1,3,3,3,3,3,3,3
NA,NA,NA,3,2,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,2,3,3,3,3
NA,NA,NA,3,1,3,3,3,3,3,3,3
NA,NA,NA,1,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,1,3,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,2,3,3,3,3,3,3,3
NA,NA,NA,3,2,3,3,3,3,3,3,3
NA,NA,NA,3,2,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,2,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,1,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,2,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,1,3,3,3,3,3,3,3
NA,NA,NA,3,2,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,2,3,3,3,3,3,3,3,3
NA,NA,NA,1,1,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,1,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,1,1,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,1,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,1,3,3,3,3,3,3,3
NA,NA,NA,3,3,1,1,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,1,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,1,3,1,3,3,3,3
NA,NA,NA,3,2,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,1,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,1,1,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,1,2,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,1,2,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,1,3,3,3,3,3,3,3
NA,NA,NA,2,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,2,3,3,3,3,3,3,3,3
NA,NA,NA,3,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,1,2,3,3,3,3,3,3
NA,NA,NA,NA,3,3,1,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,2,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,2,3,3,3,3,3,3
NA,NA,NA,NA,1,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,1
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,1,3,1,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,2,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,1,1,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,2,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,2,3,3,3,3,3,3
NA,NA,NA,NA,2,3,3,3,3,3,3,3
NA,NA,NA,NA,1,3,3,3,3,3,3,3
NA,NA,NA,NA,1,3,3,3,3,3,3,3
NA,NA,NA,NA,3,1,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,2,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,2,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,1,3,1,3,1,3,3
NA,NA,NA,NA,2,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,2,3,3,3,3,3,3,3
NA,NA,NA,NA,3,1,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,3,1,3,3,3,3,3,3
NA,NA,NA,NA,3,3,2,3,3,3,3,3
NA,NA,NA,NA,3,3,3,3,3,3,3,3
NA,NA,NA,NA,1,3,3,3,3,3,3,3
